"icd"
"2494"
"24940"
"24941"
"2504"
"25040"
"25041"
"25042"
"25043"
"25049"
"403"
"4030"
"40300"
"40301"
"4031"
"40310"
"40311"
"4036"
"4039"
"40390"
"40391"
"404"
"4040"
"40400"
"40401"
"40402"
"40403"
"4041"
"40410"
"40411"
"40412"
"40413"
"4049"
"40490"
"40491"
"40492"
"40493"
"581"
"5810"
"5811"
"5812"
"5813"
"5818"
"58181"
"58189"
"5819"
"582"
"5820"
"5821"
"5822"
"5824"
"5828"
"58281"
"58289"
"5829"
"583"
"5830"
"5831"
"5832"
"5834"
"5836"
"5837"
"5838"
"58381"
"58389"
"5839"
"585"
"5850"
"5851"
"5852"
"5853"
"5854"
"5855"
"5856"
"5859"
"586"
"5860"
"5869"
"587"
"5870"
"5879"
"7530"
"7531"
"75310"
"75311"
"75312"
"75313"
"75314"
"75315"
"75316"
"75317"
"75319"
"7532"
"75320"
"75321"
"75322"
"75323"
"75329"
"7533"
"7534"
"7536"
"7537"
"7538"
"7539"
"V1303"
"V1309"
"V186"
"V1869"
"V420"
"V451"
"V4511"
"V4512"
"V4573"
"V56"
"V560"
"V561"
"V562"
"V563"
"V5631"
"V5632"
"V568"
"V594"
"V815"
"V816"
"2741"
"27410"
"27411"
"27419"
"28311"
"4401"
"4421"
"4473"
"580"
"5800"
"5804"
"5808"
"58081"
"58089"
"5809"
"584"
"5845"
"5846"
"5847"
"5848"
"5849"
"588"
"5880"
"5881"
"5888"
"58881"
"58889"
"5889"
"589"
"5890"
"5891"
"5899"
"6421"
"64210"
"64211"
"64212"
"64213"
"64214"
"6462"
"64620"
"64621"
"64622"
"64623"
"64624"
